id,name,amount,abstract,address,ref_number,university,year,area,survive,social_media,phone_call,No_members,No_alumni,No_professor,No_undergrad,No_postgrad,No_other,Employee,private_fund,Sciencepark
76,Smarteye Tech Limited,0.8,"SMARTEYE TECH LIMITED is a technological startup founded by professors, Ph.D. students and researchers of The Chinese University of Hong Kong with the support of the Hong Kong Innovation and Technology Commission and the University. The Company is developing and commercializing high-speed and high-resolution 3D imaging systems and the relevant application softwares. Our products can capture high-resolution 3D images as fast as 70Hz with a precision up to 10 micrometers. 
 SMARTEYE products are being used in manufacturing, 3C and logistics industries to perform tasks such as product inspections, random bin-picking, automatic assembly, welding guidance, reverse engineering, etc. 
 The Company has received the angel investment from the Lenovo Capital and Incubator Group and the financial support from the Sheuzhen municipal government.","Rm 901, Research Institute of The Chinese University of Hong Kong, No.10, YueXin Second Road, NanShan District, Shenzhen",TSSSU/CUHK/17/05,CUHK,2017,Advanced Manufacturing/Process Development,1,0,0,4,0,1,0,0,3,,0,0
77,WIT Enterprises Limited,1.2,"WIT is an education solution provider offering innovative and high quality products and services to cater for preschool children's education needs. Informed by award-winning research, we design playgroup and preschool curricula, specializing in development of bilingual language learning apps and technology-enhanced learning aids and materials, assessment of language and cognitive skills, teacher training, commissioned research and consultation for parents and preschool programs.
 
 The name of our company, WIT is an acronym embodying the mission and vision which inspire our products, services and R&D: W stands for WE, I for INVEST IN and T for TOMORROW. Children are our tomorrow. We seek to nurture children from infancy to infinity through different stages of development across the life span and help them build a better future.
 
 WIT develops products and services to enhance and transform children's learning experience, integrating play, language learning, whole-person development and advanced technology. WIT promotes bilingualism and multilingualism involving Cantonese, Mandarin and English and the concomitant social, emotional and cognitive benefits. 
 WIT supports children's balanced and healthy development in language, mind and brain from infancy through toddlerhood to school age and across the lifespan.","59A, Nga Tsin Wai Rd, 2C Kowloon, Hong Kong",TSSSU/CUHK/17/06,CUHK,2017,Information and Communication Technologies,1,1,1,3,2,1,0,0,0,,1,0
78,R-Guardian Limited,0.2,"R-Guardian is the leading solution provider in bags and luggage IoT products
 
 ASSEMBLE HARDWARE
 With our hardware development and manufacturing center in Shenzhen, we are able to develop good quality products with affordable price. 
 
 INDUSTRY RESOURCES 
 We have the world class manufacturing and component (TSA Lock, Handle...) partners including 1st tier factories in Guangdong, Zhejiang and Fujian.
 
 SERVICE 
 Originated in Hong Kong, we understand service and maintenance is what every client concern. Our servers are in Amazon Web Sever (The best quality data centre) and Google Analytics to guarantee the stability of our service.","11F, HKFYG Genesis, Wong Chuk Hang, Hong Kong",TSSSU/CUHK/17/07,CUHK,2017,Other,1,1,0,4,0,0,3,1,0,,0,1
79,BINOVIZ Limited,1.2,"BinoViz Limited is visual technology company providing customized image enhancement services on specific vertical applications. The company gains its reputation for its AI-based software solution named BVTM, as patented in US and HK, which effectively assists colour-blind people in better distinguishing colours that they otherwise find confusing (i.e. red and green). Amazingly, it brings little noticeable alteration on processed videos/images for the non-colour-blind viewers. It is a game changer as it breaks the inequality and removes the barriers of visual sharing between the colour-blind and the non-colour-blind, as caused by this popular genetic defect ( 8% of male worldwide are affected by colour-blindness). 
 
 BinoViz Limited is dedicated to generating social impact with its advanced technology. The BVTM can be widely (and has been partly) incorporated with STEM education, mobile devices, VR/AR gaming, 3D movies, streaming TVs etc. As exceled in image processing and computer vision, the company also integrates software solutions for a number of vertical usages, including but not limited to digital health and elderly care. For more information, please visit: https://www.binoviztechnology.com .","Unit 609, 6 Floor, 19W, Hong Kong Science and Technology Park, Shatin, New Territories, Hong Kong",TSSSU/CUHK/18/01,CUHK,2018,Information and Communication Technologies,1,0,1,4,0,1,0,0,3,1,1,1
80,Dragon Way Technology Limited,0.9,"Colorectal cancer (CRC) is one of the top leading causes of cancer deaths around the world. Although colonoscopy is an effective tool for CRC screening, two major difficulties faced by endoscopists are missed polyps and misclassified polyps. This proposal aims to develop a real-time computer-aided system (CAS) for polyp detection and polyp type classification during colonoscopy. Existing CAS only perform either polyp detection (i.e. with or without polyps) or polyp type classification (neoplastic or non-neoplastic). In this study, a system that can perform both tasks simultaneously will be studied, i.e. by formulating the problem as a three-class image classification task (non-polyp, non-neoplastic polyp and neoplastic polyp). A set of unstructured endoscopic images, with clean labels, will be collected. Advanced machine learning technologies, including deep learning and transfer learning techniques with a novel architecture, will be implemented and evaluated on the set of endoscopic images. It is anticipated that the proposed CAS will display the diagnostic results of each frame in real time during colonoscopy to aid decision making during CRC screening.",-,TSSSU/CUHK/18/02,CUHK,2018,Information and Communication Technologies,1,1,0,3,0,1,0,2,0,,0,0
81,Foresight Language and Learning Solutions Limited,1.1,Foresight Language and Learning Solutions Limited develops evidence-based technological solutions to enhance the diagnosis and treatment of language and learning disorders and delivers evidence-based solutions to individuals with language and learning disorders in order to improve their quality of life.,"Unit 530, 5/F, Building, 19W, No. 19 Science Park West Ave, Hong Kong Science Park, Shatin, NT, Hong Kong SAR",TSSSU/CUHK/18/03,CUHK,2018,Biotechnology,1,1,1,2,0,1,0,1,0,,1,1
82,Gnetwork Limited,0.9,"Starvikk is an anonymous competition platform for University students in Hong Kong. Where we host various games that allows users to share stories that they won’t tell otherwise on their own social profiles. The platform aims at providing a cycle of social fun, social connection, and social good, where we allow a generation to come together and tell pieces of their lives, while subsidizing game winners to make purchase in local shops.","Room 2002c, Multifield Commercial Center, 426 Shanghai Street, Mong Kok, Kowloon",TSSSU/CUHK/18/04,CUHK,2018,Information and Communication Technologies,1,0,1,2,1,0,0,1,0,,1,0
83,Pureform Technology Limited,0.25,"Pureform Technology is dedicated to empowering people in their pursuit of their better selves through sports training. Specifically, we are dedicated to helping people train themselves in running through the use of state-of-the-art technologies. We utilize results from decades of biomechanics and neuroscience research, combined with cutting-edge machine-learning algorithms, to produce smart sensors for use during training. We integrate a wide range of physiological data collected through the sensors using intelligent coaching algorithm. We provide real-time coaching feedback, full breakdown of running form, training program planning, and most importantly, motivation. Our training algorithm integrates sensor data to give around-the-clock personalized feedback and motivation to both prevent injury and improve running performance.
 We are an AI-driven, personalized running coach that is there for our customers every step of the way.","Unit 2A, Hung To Centre , 94-96 How Ming Street, Kwun Tong",TSSSU/CUHK/18/05,CUHK,2018,Information and Communication Technologies,1,1,0,4,2,1,0,0,1,,0,0
84,Titanology Limited,0.5,"""Self-sanitizing door handle"" was invented based on photocatalytic coating and backlight technologies. This innovation successfully attracted interests and inquiries from companies and investors worldwide. Titanology Limited was founded in 2017 to bring these technologies to a wide range of daliy-life applications and to pursue a higher standard of living.","Room 35, Smart-Space 3F - Units 908-915, Level 9, Core F, Cyberport 3, 100 Cyberport Road, Hong Kong",TSSSU/CUHK/18/06,CUHK,2018,Nanotechnology and Materials Science,1,1,0,4,1,1,1,0,1,4,0,1
85,Advanced Plasmon Technologies Limited,1,"We are experts of plasmonic nanocrystals synthesis. We provide high-quality noble metal nanocrystals and downstream devices based on the nanocrystals.
 Currently we are focusing on the development of nanocrystal-based substrates for Surface Enhanced Raman Scattering (SERS) detection with high quality and competitive cost. These SERS substrates are highly suitable on Raman detection applications such as testing of food, medicine, daily consumable, explosive and environmental pollutant. We would like to build up a Raman detection system including Raman spectrometer and our consumable SERS substrates. In the future, we would like to further develop devices based on noble metal nanocrystals for sensing and optical applications.
 We would like to set up our business model to be business-to-business model. Briefly, we would like to cooperate with current government labs and private independent establishments engaging in testing, inspection and certification activities, introduce our Raman detection system into their testing procedures and provide them consumable SERS substrates for the fast and precise detection towards their own customers. We believe that this system can make a great impact to the market of testing and certification in Hong Kong, China and even the whole South East Asia.","Unit 905, 9/F., Building 19W, No. 19 Science Park West Avenue, Hong Kong Science Park, Pak Shek Kok, N.T., Hong Kong",TSSSU/CUHK/19/01,CUHK,2019,Nanotechnology and Materials Science,1,0,0,2,1,1,0,0,0,,0,1
86,Bay Jay Ray Technology Limited,1.1,"Bay Jay Ray Technology (BJRT) Limited focuses on developing precision optical instruments to meet the growing industry and research development in advanced manufacturing and biotechnology. Our products can provide high speed surface profiling of structures with nanometer sensitivity, which can be implemented for in-line process monitoring during advanced manufacturing to improve the yield. They can also be used for label-free imaging of cells and tissues for basic biomedical research and clinical applications. The first product to be launched by us is the Portable Dynamic Surface Profilometer (PDSP). PDSP will benefit, but not limited to, the following professional users: (1) R&D engineers in industry: quality control of advanced manufacturing process, such as wafer manufacturing and high precision 3D printing; (2) Research lab researchers: miniature medical components characterization, materials surface texture detection, etc. Through offering precision metrology solutions to our customers, we hope to help their business.","RM 1608, 16/F, APEC PLAZA, 49 HOI YUEN ROAD, KWUN TONG, HONG KONG",TSSSU/CUHK/19/02,CUHK,2019,Advanced Manufacturing/Process Development,1,0,1,6,1,1,0,2,2,,1,1
87,LOOP Sports Technology Company Limited,0.6,"Leveraging IoT and data technology, Loop Sports Technology aims to make professional physical fitness training accessible by the general public. 
 We provide training session management solution to fitness coaches, enabling them to execute their sessions and manage the crew on mobile device. By adapting our solution, most of the repetitive manual work of a training session will be eliminated, and most importantly, our coaches can assess the performance of each of his/her members in a scientific manner, as the training session is now digitized.
 Our primary clients are secondary schools. Our service covers strength & conditioning and indoor rowing.",-,TSSSU/CUHK/19/03,CUHK,2019,Information and Communication Technologies,1,0,0,2,2,0,0,0,0,,0,0
88,Mechawaves Manufacturing Limited,0.9,"MECHAWAVE MANUFACTURING is a pioneer in the area of microwave filter tuning and microwave filter design. Led by experts from academics and industry veterans in filter tuning algorithms and automatic and robotic technologies, we have developed the advanced filter tuning platform, which is a high-performance and fully automatic robotic filter tuning system, helping filter companies to produce filters in a much higher production rate and better product quality. The turn-key filter tuning solution and services greatly reduce the labor needs and production costs. It is the most cost-effective solution for massive filter production for 5G and future mobile communication system.","Unit 670, 6/F., Building 19W, No. 19 Science Park West Avenue, Hong Kong Science Park, Pak Shek Kok, N.T., Hong Kong.",TSSSU/CUHK/19/04,CUHK,2019,Advanced Manufacturing/Process Development,1,0,0,4,3,1,0,0,0,,0,1
89,MTcure Biotech Limited,0.9,"MTCURE is an innovative biotechnology company that specializes in medical therapy services and products, which include household therapeutic system and personalized clinic and beauty services. The technologies include degenerative diseases care, knee osteoarthritis treatment, rehabilitation as well as tissue repair. MTCURE was founded in 2018 by a team of engineer, doctor and professor. Our objective is to bring professional medical therapy to family and community.",-,TSSSU/CUHK/19/05,CUHK,2019,Biotechnology,1,0,0,5,2,1,0,2,0,2,0,0
90,Mushroom-X Limited,0.6,"Mushroom-X is committed to bringing humanity's needs in balance with the resources of our planet. With deep understanding of mushroom, genetics, and related technology, we develop germplasm bank to establish a fungi culture stock. We develop automated climate-smart farming system to practice precision agriculture. We select species based on DNA sequencing and specific nutritional value to produce food products, medicine, and materials from fungi. We provide expertise and R&D service for developing mushroom treated waste and mushroom authentication approach. We develop our technology platform with the deploy of intellectual property via the licensing or technology transfer from the university. We are unleashing the potential of mushroom to address the world problem of food security and safety. We apply technology “from gene to table"" for the next economy and develop our core technology platform to ensure the food supply and quality for the globe.","Room 22, Unit 111-113, 1/F, Enterprise Place, No 5 Science Park West Avenue, Hong Kong Science Park, Shatin, New Territories, Hong Kong",TSSSU/CUHK/19/06,CUHK,2019,Biotechnology,1,1,0,5,4,1,0,0,0,5,0,1
91,n-hop technologies Limited,1.1,"n-hop technologies has developed BATS, a revolutionary communication technology based on the fundamental research on network coding at The Chinese University of Hong Kong. The two main founders of our company, Prof. Raymond Yeung and Prof. Shenghao Yang, are the inventors of this technology. In loT, most devices cannot be directly connected to the wireline network, but rather need to go through many other wireless loT devices. Thus wireless multi-hop networks will be in great demand. BATS can dramatically improve the performance of such networks. The gain brought about by BATS, which increases with the number of hops, is unbounded. With BATS, the transmission throughput can sustain after tens or even hundreds of hops. BATS has already been proven successful in the Hong Kong Government's pilot smart lamppost system. A very wide range of other applications can benefit from BATS, including 5G, loT, V2X, satellite communication, and underwater acoustic communication.","Unit 1031, 10/F., Building 19W, No. 19 Science Park West Avenue, Hong Kong Science Park, Pak Shek Kok, N.T.",TSSSU/CUHK/19/07,CUHK,2019,Information and Communication Technologies,1,0,0,4,2,2,0,0,0,,0,0
92,Shape Driven Tech Limited,1.1,"Shape Driven Tech provides digital-human oriented solutions and data for intelligent design and advanced manufacturing. By our core and original shape-driven technology with AI and big data, industry of wearable products can realize the direct C2M solution to achieve Industry 4.0.","Unit 952, 9/F, Building 19W, No. 19 Science Park West Avenue, Hong Kong Science Park, Pak Shek Kok, N.T.",TSSSU/CUHK/19/08,CUHK,2019,Advanced Manufacturing/Process Development,1,0,0,3,1,1,0,0,1,,0,1
93,AIROTA Diagnostics Limited,0.5,"We invented a new technique, ROTA (Retinal nerve fiber layer Optical Texture Analysis) (US Application No.62/571,559), to augment the diagnostic performance to detect glaucoma and non-glaucomatous optic neuropathies. ROTA integrates retinal nerve fiber layer (RNFL) thickness and RNFL reflectance measurements obtained with standard optical coherence tomography (OCT) scans to discern individual axonal fiber bundles. ROTA detects focal RNFL defects in early optic neuropathy and reveals residual axonal fiber bundles in end-stage optic neuropathy that are discernible neither in conventional OCT analysis nor other clinical investigations. Our objective is to develop artificial intelligence assisted ROTA (AIROTA), which integrates (1) ROTA, (2) cloud computing, and (3) deep learning into major clinical optical coherence tomography systems worldwide to automate clinical workflow for diagnostic evaluation and screening of glaucoma and non-glaucomatous optic neuropathies. Our business model represents a key strategy for prevention of blindness and visual impairment in Hong Kong and beyond, which is aligned with the Government initiative to promote healthcare.","9/F Amtel Building, 148 Des Voeux Road Central, Central, Hong Kong",TSSSU/CUHK/20/01,CUHK,2020,Biotechnology,1,0,0,1,0,1,0,0,0,,0,1
94,Beth Bioinformatics Company Limited,0.5,"Beth Bioinformatics Co., Ltd is a biotech company that develops AI-assisted vaccine antigen design and accurate complex disease risk prediction technologies. In the area of vaccine development, our technology is applied to influenza virus, enabling better antigen design that could improve seasonal influenza vaccines' effectiveness by 20-40%. We could also design region-specific antigens to further improve effectiveness, or use the technology to estimate vaccine effectiveness in-silico. The technology is transferrable to other viruses and we are currently researching on the new COVID-19 virus.
 In the area of human diseases, we developed accurate risk prediction for complex diseases using human genome data. Diseases currently being developed include Alzheimer's disease and Schizophrenia. Paired along with 3rd generation sequencing, we hope to provide a quick and reliable method for primary care, direct-to-customer genetic testing companies and insurance companies etc. to identify risk early in wide-range screening setting.","Room 10, Unit 602, 6/F, Core Building 1, HKSTP, No.1 Science Park East Avenue, Pak Shek Kok, New Territories",TSSSU/CUHK/20/02,CUHK,2020,Biotechnology,1,1,0,5,2,2,0,1,0,,0,1
95,Capmi Technology Limited,0.3,"Capmi Tech is a company focusing on IoT and wearable sensor development, plus different software which taking motion capture into sport and medical area.","Unit I, 5/F, International Industrial Centre, 2-8 Kwei Tei St, Fo Tan, Shai Tin, Hong Kong",TSSSU/CUHK/20/03,CUHK,2020,Biotechnology,1,1,0,1,0,1,0,0,0,,0,1
96,Cornerstone Robotics Limited,0.5,"CORNERSTONE ROBOTICS LIMITED is a newly established start-up company and its founders have roots from The Chinese University of Hong Kong. The founding team members consist of PhD graduates from prestigious universities worldwide. All of the core team members possess rich experience in either the medical robotics industry and/or research laboratories. The company focuses on innovative robotics technology for healthcare with a particular interest in rehabilitation, surgery, etc. with emphasis on both innovative research and development and practical clinical translation. The vision of the company is to increase accessibility to high-end medical services in the Greater China region.","Unit 520-522, Core Building 1 (1E), Hong Kong Science Park",TSSSU/CUHK/20/04,CUHK,2020,Other,1,1,0,3,1,1,0,0,1,16,0,1
97,EggLogics Limited,0.5,"EggLogics is a reproductive health solution provider that offers fertility recovery and assessment services. Advanced maternal age (AMA) women are associated with higher infertility, miscarriage, and genetic diseases risk of the embryo. The company invented a new non-invasive technology to increase the number of high-quality mature eggs of AMA women, and developed a novel oocyte quality assessment, which is more accurate than traditional morphological assessment.",-,TSSSU/CUHK/20/05,CUHK,2020,Biotechnology,0,1,0,5,0,5,0,0,0,,0,1
98,GenieBiome Limited,0.5,"Our company GenieBiome is a local start-up founded by two internationally renowned leaders in digestive diseases and microbiome medicine. We use microbial biotechnology to develop innovative diagnostic and therapeutic products. Our mission is to bring health to the society by targeting and fixing gut microbiome with science. 
 Our featured product is a novel diagnostic test that can detect the precancerous (i.e., adenoma) and early stages of colorectal cancer with high accuracy. Early detection of colorectal cancer (CRC), especially in the precancerous stage, has proven to prevent cancer and reduces deaths. 
 This product makes use of the patented technology developed in the CUHK, which we have obtained an exclusive license. GenieBiome will transform this innovation into an affordable, effective, non-invasive test to fill the need in Hong Kong, Macau, China and other Asian countries.",-,TSSSU/CUHK/20/06,CUHK,2020,Biotechnology,1,0,0,3,0,3,0,0,0,,0,1
99,HYNOVEL BIOTECH LIMITED,0.5,"HYNOVEL is founded by a group of researchers, with all team member currently working in CUHK. The company name, HYNOVEL, is originated from two words --“Hydrogel” and “Novel”. As the name indicates, our endeavor is to develop novel, cost-effective, and multifunctional hydrogel scaffold for 3D cell culture. Our goal is to be the best 3D cell culture technology provider for researchers from hospitals, biotech companies, universities and research institutes.",-,TSSSU/CUHK/20/07,CUHK,2020,Biotechnology,1,0,0,2,0,1,0,1,0,,0,0
100,LaSense Technology Limited,0.7,"LaSense Technology Limited is a start-up company based on the original intellectual properties generated from Laser Diagnostics and Combustion Laboratory at CUHK. Air pollution is becoming a major challenge faced by the entire society, but the existing gas sensors have limited capabilities to cost-effectively, consistently, and precisely quantify different types of air pollutants. The mission of LaSense is to provide ultra-sensitive gas sensing and control systems to meet the urgent need of real-time and online chemical analysis using the advanced laser spectroscopic technology combined with artificial intelligence. LaSense is a pioneer to advance the lab-based high-precision spectroscopic system to the revolutionary industrial level, which fills the gap in online gas sensing and automatic process control for a wide variety of applications.","17/F, Winner Commercial Building, 401-3 Lockhart Road, Causeway Bay, Hong Kong",TSSSU/CUHK/20/08,CUHK,2020,Environmental Protection,1,1,0,4,2,1,0,0,1,,0,1
101,Targene Biotech (Hong Kong) Limited,0.2,"Targene focused on tissue targeted adeno-associated virus (AAV) research and development with a starting of cartilage targeted AAV. Our short-term objectives are scientific study service and license out based on our current products. We also aimed at exploring the potential application of tissue targeted AAV in gene therapy by pre-clinical and clinical trials as our long period objectives. Targene aims to provide tissue targeted recombinant AAV to solve the lack of targeting from the wild type AAV. Our current customers are bone and joint laboratories in Hong Kong, China mainland and overseas. We also provide license out service to other friendly companies to broaden our market. And by collaborating with clinicians, our future potential customers will be certain patients that need gene therapy.",-,TSSSU/CUHK/20/09,CUHK,2020,Biotechnology,1,0,0,2,0,1,0,0,1,,0,0
102,R &amp; P Technology Limited,1.19,"R & P Technology Limited aims to market our patented 8-channel mechanical wounder with the goal to resolve the different technical problems that are associated with the cell migration assay. Firstly, our wounder can be easily sterilized by autoclaving or with common disinfectants. Secondly, the individual adjustable pins allow even contact with the cell culture plate so that sharp and reproducible wounds can be created. Thirdly, the guiding-bar on both sides of the wounder ensure consistent wounding position in each well. The use of disposable plastic pipette tips for wounding can further provide better handling of the wounder process as well as to minimize cross-contamination. In conclusion, our newly patented cell wounder can provide our researchers with a highly user friendly and reproducible device for performing cell migration assay using the standard 96-well culture plate.",-,TSSSU/HKBU/14/01,HKBU,2014,Biotechnology,1,1,0,1,0,1,0,0,0,,0,0
103,Flow Imaging Technology Limited,1,"The technology being developed is fluorescence imaging used in rapid enumeration of phytoplankton particles present in the water. This is a vital piece of technology in the area of environmental monitoring of water quality, pollution and toxicity for both marine and freshwater habitats. The technology has a vast market in the environmental monitoring industries for marine and freshwater lakes.",-,TSSSU/HKBU/14/02,HKBU,2014,Environmental Protection,0,0,0,3,1,2,0,0,0,,0,0
104,OPER Technology Limited,3.28,"OPER TECHNOLOGY LIMITED is to develop and perfect an innovative technology in nanomaterial-based individualized stem cell therapy, which is a personalized medicine that can offer an inexpensive, real-time monitoring, precise, effective and globally available medical technology, to improve the healthcare and clinical practices for restoring health and extending life of patients with incurable diseases. This new core technology is a nanosurgery with real-time monitoring that enables both specific cell harvest in complicated systems in the body, cell engineering and specific drug delivery to specific cells in the body.
 The target groups that can benefit from our technology are:
 1) Patients with neurological diseases;
 2) Patients with other incurable diseases, e.g. Patients with cancer;
 3) Research laboratories and medical research institutes around the world.
 We are also committed to advancing the medical technology and inspiring researchers on innovative medical technology solutions.","Unit 517, 5/F, Biotech Centre 2, No. 11 Science Park West Avenue, Hong Kong Science Park, Shatin, N.T.",TSSSU/HKBU/14/03,HKBU,2014,Biotechnology,1,1,0,2,1,1,0,0,0,,0,0
105,ANA Artwork Material Analysis Company Limited,2.49,"This is a cutting-edge technology for artwork analysis. We named it Nano-prob. Nano-probe is a laser analytical technology based on ultra-violet laser induced plume fluorescence. It was invented by Prof. Cheung Nai Ho and his group at HKBU. We use it to obtain the artwork finger-prints (elemental information of artwork material). This innovative technology will not cause any visible damage on artwork surface even under high-magnification microscope. The test results will be analyzed using our chemometric algorithms and compared against our proprietary artwork material database. The provenance of artworks can then be traced. Therefore, we believe that we can provide the physical data to assist our clients to authenticate their artworks in the near future. Currently we are working with museums and cultural heritage institutes in Hong Kong and France and helping them to analyze artworks including paintings, ceramics, and fresco.","1/F Winner Mansion, 691 A Nathan Road, Mong Kok, Hong Kong",TSSSU/HKBU/14/04,HKBU,2014,Testing and Certification,0,0,0,0,0,0,0,0,0,,0,0
106,Cathay Photonics Limited,3.24,"Cathay Photonics Limited (CPL) is a R&D company whose main focus is to develop new optical and photonic materials/devices for application in such as display, optical communication, imaging and other new optoelectronics and photonics areas.","Suite D, 19/F., Ritz Plaza, 122 Austin Road, Tsimshatsui, Kowloon",TSSSU/HKBU/14/05,HKBU,2014,Nanotechnology and Materials Science,1,1,0,3,1,2,0,0,0,7,0,0
107,Booguu Company Limited,1.83,"Booguu Company Limited is developing two versatile health care and medical testing devices, Balance Scale and Portable Gait Analyzer for consumer and clinical applications. Both of these products won the gold medal at the ""Geneva International Exhibition of Inventions"" in 2017.
 
 Booguu Balance Scale is a medical and health product. The Balance Scale can test one's balance ability, provide training for the improvement of balance ability. It can be used to monitor his/her health status, provide scientific and reliable help to the rehabilitation staff and related institutions. For ordinary people, the balance index can also be used as a health indicator. It will be an integral part of the physical examination table just like weight, blood pressure and so on.
 
 The Portable Gait Analyzer measures the bio-mechanics of walking, running and other physical activities with unprecedented details. The results can be used for diagnosing motion impairment related medical conditions, assessing the effectiveness of therapeutic solutions, footwear design, sports medicine, athletic training and even biometric security authentication.","Unit 212A, 2/F, Enterprise Place, No.5 Science Park West Avenue, Hong Kong Science Park, Shatin, N.T.",TSSSU/HKBU/16/01,HKBU,2016,Biotechnology,1,1,0,3,2,1,0,0,0,4,0,1
108,Gihon Biotech Limited,2.82,"Gihon Biotech is a green biopharmaceutical company launched to dedicate to personal care products enriched in natural ingredients, especially Chinese Medicine. We have a professional R&D team with support from the experts at Hong Kong Baptist University, who own multiple patents. Our R&D consultants have been working in plant medicine and natural product research with more than 20 years' experience. Our R&D results and products could be applied to skin care, hair protection, anti-aging, anti-dental bacteria, anti-inflammatory and other personal care areas.
 
 Formulation of avant-garde skin-lightening and skin-protecting cosmeceuticals enriched with Chinese Medicine ingredients is our major focus at the present time, and it has been financially supported by Technology Start-up Support Scheme for Universities (TSSSU), Innovation and Technology Commission, the Government of the Hong Kong Special Administrative Region. Gihon Biotech aims to provide high quality of cosmeceuticals for female and male customers who are giving attention to skin care and concerning skin condition.","Unit 523, 5/F, Biotech Centre 2, No. 11 Science Park West Avenue, Hong Kong Science Park, Shatin, Hong Kong",TSSSU/HKBU/17/01,HKBU,2017,Biotechnology,0,1,0,5,2,2,0,0,1,3,0,1
109,Hong Kong Authentication Centre of Dendrobii Officinalis Caulis Limited,2.91,"Dendrobii Officinalis Caulis is one of the most popular and expensive Chinese medicines in the Hong Kong market. The existence of fake products reduces the consumers' confidence, and the market size. Hong Kong Authenication Centre of Dendrobii Officinalis Caulis Limited Company provide commercial service for authenication of these expensive Chinese medicines, with mission to end up the market mess and to facilitate the upgrading of Dendrobium industry with support of innovative technologies. The related authentication service has been extended to other items including Cordyceps and Ejiao samples.","Unit H, 13/F, International Ind. Ctr., 2 Kwei Tei Street, Fo Tan, Hong Kong",TSSSU/HKBU/17/02,HKBU,2017,Testing and Certification,1,0,0,5,1,1,0,2,1,3,0,0
110,New Life Medicine Technology Company Limited,2.95,"New Life Medicine Technology Company Limited is a biotech company in Hong Kong, aimed at frontier technology development for medicine and healthcare applications for the community. Our team are devoted to developing and innovating medical technologies that provide cost effective, more accurate and faster diagnosis techniques for human diseases determination and treatment.
 
 We develop a series of low cost and effective pioneering medical product to provide worldwide clinicians with practical diagnosis decision support solutions and to improve the efficiency and appropriateness of diagnosis in medicine for the community.
 
 We focus on imaging reagents products. Our first product, Lanthanide Toolbox, is a primary cilium biomarker, which produces image of primary cilium for R&D scientists. Primary cilium is an organelle on human cell that is related to some genetic diseases and cancer. Our Product provides a platform for researchers to further develop medicine and treatment methods. We are also developing other biotech products continuously. Those will be launched in the coming future.","Unit 312B, 3/F, IC Development Centre, No. 6 Science Park West Avenue, Hong Kong Science Park, Shatin, N.T.",TSSSU/HKBU/17/03,HKBU,2017,Biotechnology,1,0,0,4,1,1,0,1,1,14,0,0
111,Mat-A-Cell Limited,3.16,"1. The first core is the advanced inorganic sculptured extracellular nanomatrices (iSECnM) used for growth factor-free proliferation and differentiation of NSCs. This technology will provide a new type of stimulation substrates for NSC proliferation and differentiation for research institutes and commercial pharmaceutical companies. On the other hand, this technology will form a basis for NSC therapies for patients with neurological diseases upon regulatory bodies’ approval for clinical applications. 
 
 2. The second major core is to develop a series of iSCEnM for the differentiation of diverse stem cells, such as synovial-derived mesenchymal stem cells, adipose stem cells, and embryonic stem cells for treating other diseases. These products will be produced based on our expertise in the team. We anticipate many of them will be developed as products with short time-to-market and further applied to clinical applications upon approval. In addition, they will be applied in research products for both animal/cell applications in which approvals are not necessary/minimal compared with clinical applications.",-,TSSSU/HKBU/18/01,HKBU,2018,Nanotechnology and Materials Science,1,1,0,2,0,1,0,1,0,,0,0
112,BP InnoMed Limited,2.56,"BP InnoMed Limited focuses on the development and the commercialization of the ""Theranostics probes for ending Epstein-Barr Virus (EBV) associated cancer"". EBV is one of the eight known human herpesvirus types in the herpes family and infects >90% of human populations. 200,000 new EBV associated cancer cases are found annually.
 
 One of the EBV associated cancers - nasopharynx cancer (NPC) is the most popular cancer in the southern part of China. More than 4,000 cases are in stage 3 and 4 in which the survival rate of stage 4 NPC patients is only 38%. 
 The pre-clinical trial of our discovery - anti-EBV associated cancer agent – L2P4 is processing and has shown impressive selectivity for anti-EBV associated cancer growth.
 
 L2P4 has shown >90% EBV cancer inhibition with only 4 μmol/kg dosed in mice. Compared with the new anti-EBV associated probes under clinical trial 2, L2P4 targets on EBV associated cancer stem calls which avoids metastasis. It causes fewer side effects on normal tissues so that the anti-EBV cancer treatment will be more effective.","Unit 2610, APEC Plaza, No.49, Hoi Yuen Road, Kwun Tong, KLN, HK",TSSSU/HKBU/19/01,HKBU,2019,Biotechnology,1,0,0,2,1,1,0,0,0,4,0,1
113,CD133 Innovation Limited,2.26,"CD133 Innovation Limited is a biomedical startup spinned off from Hong Kong Baptist University. Our company is committed to developing and perfecting an innovative technology in nanomaterial-based and globally available applications for promoting the healthcare and clinical practices, which targeting to restoring health and extending life of patients with incurable diseases. Our state-of-art technology could offer a fast, secure, personalized clinical strategy, which could be beneficial to both diagnostic and therapeutic means in incurable diseases.","Unit 1008, Level 10, Cyberport 1, Telegraph Bay, Hong Kong",TSSSU/HKBU/19/02,HKBU,2019,Biotechnology,1,0,1,3,2,1,0,0,0,,1,0
